Message_Name,Message_ID (PID),Signal_Name (DID)
KINEMATICS,0x24,YAW_RATE
KINEMATICS,0x24,STEERING_TORQUE
KINEMATICS,0x24,ACCEL_Y
BRAKE,0xa6,BRAKE_AMOUNT
BRAKE,0xa6,BRAKE_PEDAL
WHEEL_SPEEDS,0xaa,WHEEL_SPEED_FR
WHEEL_SPEEDS,0xaa,WHEEL_SPEED_FL
WHEEL_SPEEDS,0xaa,WHEEL_SPEED_RR
WHEEL_SPEEDS,0xaa,WHEEL_SPEED_RL
SPEED,0xb4,ENCODER
SPEED,0xb4,SPEED
SPEED,0xb4,CHECKSUM
GEAR_PACKET,0x127,CAR_MOVEMENT
GEAR_PACKET,0x127,GEAR
GEAR_PACKET,0x127,COUNTER
GEAR_PACKET,0x127,CHECKSUM
PCM_CRUISE,0x1d2,GAS_RELEASED
PCM_CRUISE,0x1d2,ACCEL_NET
PCM_CRUISE,0x1d2,CRUISE_STATE
PCM_CRUISE,0x1d2,CHECKSUM
BRAKE_MODULE,0x226,BRAKE_PRESSURE
BRAKE_MODULE,0x226,BRAKE_POSITION
BRAKE_MODULE,0x226,BRAKE_PRESSED
ACCELEROMETER,0x228,ACCEL_X
ACCELEROMETER,0x228,ACCEL_Z
BRAKE_MODULE2,0x230,BRAKE_LIGHTS
GAS_PEDAL,0x245,GAS_PEDAL
STEER_TORQUE_SENSOR,0x260,STEER_OVERRIDE
STEER_TORQUE_SENSOR,0x260,STEER_TORQUE_DRIVER
STEER_TORQUE_SENSOR,0x260,STEER_TORQUE_EPS
STEER_TORQUE_SENSOR,0x260,CHECKSUM
EPS_STATUS,0x262,STATE
EPS_STATUS,0x262,LKA_STATE
EPS_STATUS,0x262,CHECKSUM
STEERING_IPAS,0x266,STATE
STEERING_IPAS,0x266,ANGLE
STEERING_IPAS,0x266,SET_ME_X10
STEERING_IPAS,0x266,DIRECTION_CMD
STEERING_IPAS,0x266,SET_ME_X00_1
STEERING_IPAS,0x266,CHECKSUM
STEERING_LKA,0x2e4,SET_ME_1
STEERING_LKA,0x2e4,COUNTER
STEERING_LKA,0x2e4,STEER_REQUEST
STEERING_LKA,0x2e4,STEER_TORQUE_CMD
STEERING_LKA,0x2e4,LKA_STATE
STEERING_LKA,0x2e4,CHECKSUM
LEAD_INFO,0x2e6,LEAD_LONG_DIST
LEAD_INFO,0x2e6,LEAD_REL_SPEED
LEAD_INFO,0x2e6,CHECKSUM
ACC_CONTROL,0x343,ACCEL_CMD
STEERING_LEVERS,0x614,TURN_SIGNALS
STEER_ANGLE_SENSOR,0x25,STEER_ANGLE
STEER_ANGLE_SENSOR,0x25,STEER_FRACTION
STEER_ANGLE_SENSOR,0x25,STEER_RATE
PCM_CRUISE_2,0x1d3,MAIN_ON
PCM_CRUISE_2,0x1d3,LOW_SPEED_LOCKOUT
PCM_CRUISE_2,0x1d3,SET_SPEED
PCM_CRUISE_2,0x1d3,CHECKSUM
PCM_CRUISE_SM,0x399,MAIN_ON
PCM_CRUISE_SM,0x399,CRUISE_CONTROL_STATE
PCM_CRUISE_SM,0x399,UI_SET_SPEED
ESP_CONTROL,0x3b7,TC_DISABLED
LKAS_HUD,0x412,SET_ME_1
LKAS_HUD,0x412,LEFT_LINE
LKAS_HUD,0x412,RIGHT_LINE
LKAS_HUD,0x412,BARRIERS
LKAS_HUD,0x412,LDA_MALFUNCTION
LKAS_HUD,0x412,ADJUSTING_CAMERA
LKAS_HUD,0x412,TWO_BEEPS
LKAS_HUD,0x412,LDA_ALERT
UI_SEETING,0x611,UNITS
SEATS_DOORS,0x620,DOOR_OPEN_FL
SEATS_DOORS,0x620,DOOR_OPEN_FR
SEATS_DOORS,0x620,DOOR_OPEN_RR
SEATS_DOORS,0x620,DOOR_OPEN_RL
SEATS_DOORS,0x620,SEATBELT_DRIVER_UNLATCHED
POWERTRAIN,0x1c4,ENGINE_RPM
POWERTRAIN,0x1c4,CHECKSUM
