Sender,Description
AAF,Active Air Flap – controls grille shutters to optimize engine cooling and aerodynamics (Hyundai).
ABS,Anti-lock Braking System – handles wheel lock prevention during braking (Hyundai).
ABS_ESC,ABS/ESC control module – handles electronic stability and traction control systems (Ford/Lincoln).
ACC_Sensor,Adaptive Cruise Control sensor – detects vehicles ahead and feeds data to ACC system (BMW).
ACI,Audio Control Interface – handles radio/audio control acknowledgments (BMW).
ACM,Active Chassis Management – sends AEB (automatic emergency braking) requests (Rivian).
ACSM,Advanced Crash Safety Module – includes crash detection and security counters (BMW).
ACU,Airbag Control Unit – manages airbag deployment logic (Hyundai).
ADAS,Advanced Driver Assistance System – feeds HUD info from ACC (Acura).
ADAS_PRK,ADAS Parking – part of assisted parking system (Hyundai/Kia).
ADRV,Autonomous Driving Radar Vehicle – radar control or object detection (Hyundai CAN FD).
AFLS,Adaptive Front Lighting System – adjusts headlight beams dynamically (Hyundai).
AFS,Adaptive Front-lighting System – adjusts beam angle and intensity (Toyota).
AHLS,Adaptive Headlamp Leveling System – auto-adjusts headlamp level based on pitch (Hyundai).
AHM,Trailer Module – status and lighting for trailers (BMW).
AMM_FO,ADAS Metadata Message – likely for ADAS data broadcasting (Cadillac CT6).
AMP,Amplifier Module – handles infotainment audio signals (Hyundai).
APRK,Advanced Park Assist – sends smart parking assist commands (Hyundai CAN FD).
ARS,Anti-Rollover Sensor or Alive Counter – likely safety system heartbeat signal (BMW).
ASCM,Active Safety Control Module – sensor fusion for safety features (BMW).
ASD,Active Sound Design – generates artificial engine sound in cabin (Hyundai).
AVM,Around View Monitor – provides 360° camera view data (Hyundai).
AWD,All-Wheel Drive data – controls and monitors AWD system (Hyundai Santa Fe).
Airbag_MQB,Airbag system message – likely deployment or readiness status (VW MQB).
AntilockBrakeSystem,Wheel speed signal used for ABS functionality (Mazda RX-8).
B233B_LRR,Long Range Radar – object tracking data (GM Global A).
BCM,"Body Control Module – central control for windows, locks, lights (Volvo)."
BCW,Blind-Spot Collision Warning – radar input for blind spot detection (Hyundai/Kia).
BDY,Body module – sends door and lock status info (Acura ILX).
BGM,Backup Camera State – status from reverse camera system (Toyota).
BMC_MLBevo,Battery Management Controller – battery state/status in MLB evo platform (VW).
BMS_MQB,Battery Management System – hybrid battery status in MQB platform (VW).
BSR,Blind Spot Radar – sends detected object info (Toyota).
CAM,"Camera module – lane marking detection, e.g., for LKAS (Acura RDX)."
CAMERA,Front or surround camera – sends image or object data (Hyundai CAN FD).
CAS,Car Access System – handles locking/unlocking and start authorization (BMW).
CCC,Central Control Computer – handles instrument cluster requests (BMW).
CCP,Communication Control Protocol – gateway or network management module (Hyundai).
CEM,Central Electronics Module – controls switches and vehicle electronics (Volvo).
CGM,Chassis Gateway Module – acts as gateway for primary actuator messages (Rivian).
CGW,Central Gateway – facilitates communication between ECUs (Toyota).
CH,ESP Wheel Speeds – sends individual wheel speeds for traction control (Tesla).
CID,Control Interface Display – monitors status from rear display or controls (BMW).
CLOCK,Clock module – likely syncs time or coordinates timing across ECUs (Hyundai).
CLU,Cluster Unit – provides driver instrument cluster info (Hyundai).
CMR_DSMC,CMR DSMC Network Management – network communication management (Ford).
CSR,Customer Service Request – likely user-initiated controls or diagnostics (Toyota).
CTM,Convertible Top Module – position control for rear window/top (BMW).
CUBIS,Central Unit for Body Integration System – manages lighting and doors (Hyundai).
CVM,Camera Vision Module – provides visual processing for ADAS (Volvo).
DATC,Dual Automatic Temperature Control – climate control unit (Hyundai).
DCDC_800V_PAG,DC-DC Converter – 800V to 12V conversion unit (VW MEB platform).
DDE1,"Digital Diesel Electronics 1 – BMW diesel engine control module managing diesel exhaust gas additive dosing (e.g., DEF/urea) in E9x/E8x models."
