Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
0_Niro_CALC Average Battery Module Temperature, Batt AvgT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_CALC Average Cell Voltage,Avg Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Auxillary Battery Voltage,Aux Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Available Charge Power,Max REGEN,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Available Discharge Power,Max POWER,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery Cell Voltage Deviation,V Diff,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery Current,Batt Current,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery DC Voltage,Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery Fan Feedback,Batt Fan SPD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery Fan Status,Batt Fan MOD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
0_Niro_Battery Inlet Temperature,Batt InletT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
