Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
000_Airbag H/wire Duty,Airbag,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Auxillary Battery Voltage,Aux Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Available Charge Power,Max REGEN,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Available Discharge Power,Max POWER,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Current,Batt Current,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery DC Voltage,Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Fan Feedback,Batt Fan SPD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Fan Status,Batt Fan MOD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Inlet Temperature,Batt InletT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Max Temperature,Batt MaxT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Min Temperature,Batt MinT,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Module 1 Temperature,Batt Temp1,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Module 2 Temperature,Batt Temp2,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Module 3 Temperature,Batt Temp3,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Module 4 Temperature,Batt Temp4,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Module 5 Temperature,Batt Temp5,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Battery Power,Energy Draw,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_BMS Ignition,BMS Ignit.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_BMS Main Relay,BMS Relay,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Cumulative Charge Current,CCC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Cumulative Discharge Current,CDC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Cumulative Energy Charged,CEC,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Cumulative Energy Discharged,CED,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Drive Motor Speed 1, EV-RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_RPM Unknown,Unknown RPM,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Inverter Capacitor Voltage,BMS Capacitor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Isolation Resistance,Surge Resistor,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Maximum Cell Voltage,Max Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Maximum Cell Voltage No.,Max Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Minimum Cell Voltage,Min Cell V,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Minimum Cell Voltage No.,Min Cell V  No.,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_Operating Time,OpTime,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
000_State of Charge BMS,SOC BMS,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Optima_PHEV_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Optima%20PHEV%20-%209.8kWh'}
