Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
000_Airbag H/wire Duty,Airbag,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Auxillary Battery Voltage,Aux Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Available Charge Power,Max REGEN,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Available Discharge Power,Max POWER,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Cell Voltage Deviation,V Diff,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Current,Batt Current,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery DC Voltage,Batt Volts,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Fan Feedback,Batt Fan SPD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Fan Status,Batt Fan MOD,7E4,0x2101,03 22 21 01 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Heater 1 Temperature,Heater Temp1,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
000_Battery Heater 2 Temperature,Heater Temp2,7E4,0x2105,03 22 21 05 00 00 00 00,Kia_Soul_EV_27kWh_BMS,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Soul%20EV%20-%2027kWh'}
