Parameter,CAN_ID,UDS Request Payload,Vehicle Model,Source
current,7e4,03 22 48 F9 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
voltage,7e4,03 22 48 0D 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
ext_temp,7e2,03 22 DD 05 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
batt_temp,7e4,03 22 48 00 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
is_charging,7e2,03 22 48 51 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
is_dcfc,7e2,03 22 48 51 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
soh,7e4,03 22 49 0C 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
soc,7e4,03 22 48 45 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
is_parked,7e6,03 22 1E 12 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
vehicle_reported_speed,7e0,03 22 15 05 00 00 00 00,MachE,https://github.com/iternio/ev-obd-pids/blob/main/ford/MachE.json
